bundesland,Year,male_count,female_count,total
Baden-Württemberg,2019,5516440,5583954,11100394
Baden-Württemberg,2020,5516636,5586407,11103043
Baden-Württemberg,2021,5526110,5598532,11124642
Baden-Württemberg,2022,5595424,5684833,11280257
Baden-Württemberg,2023,5633643,5705617,11339260
Bayern,2019,6507691,6617046,13124737
Bayern,2020,6512595,6627588,13140183
Bayern,2021,6532222,6644767,13176989
Bayern,2022,6620203,6749190,13369393
Bayern,2023,6664456,6770606,13435062
Berlin,2019,1804273,1865218,3669491
Berlin,2020,1802038,1862050,3664088
Berlin,2021,1807826,1869646,3677472
Berlin,2022,1843196,1912055,3755251
Berlin,2023,1860115,1922087,3782202
Brandenburg,2019,1243931,1277962,2521893
Brandenburg,2020,1248050,1283021,2531071
Brandenburg,2021,1250325,1287543,2537868
Brandenburg,2022,1265151,1307984,2573135
Brandenburg,2023,1271103,1310564,2581667
Bremen,2019,337001,344201,681202
Bremen,2020,336390,343740,680130
Bremen,2021,334319,342144,676463
Bremen,2022,338233,346631,684864
Bremen,2023,341986,349717,691703
Hamburg,2019,903974,943279,1847253
Hamburg,2020,906933,945545,1852478
Hamburg,2021,907682,946253,1853935
Hamburg,2022,925616,966506,1892122
Hamburg,2023,936740,973420,1910160
Hessen,2019,3105260,3182820,6288080
Hessen,2020,3108408,3184746,6293154
Hessen,2021,3108589,3186428,6295017
Hessen,2022,3151158,3240202,6391360
Hessen,2023,3170839,3249890,6420729
Mecklenburg-Vorpommern,2019,792612,815526,1608138
Mecklenburg-Vorpommern,2020,793537,817237,1610774
Mecklenburg-Vorpommern,2021,793443,817717,1611160
Mecklenburg-Vorpommern,2022,799695,828683,1628378
Mecklenburg-Vorpommern,2023,801048,828416,1629464
Niedersachsen,2019,3947571,4046037,7993608
Niedersachsen,2020,3951456,4051965,8003421
Niedersachsen,2021,3962947,4064084,8027031
Niedersachsen,2022,4009822,4130420,8140242
Niedersachsen,2023,4026230,4135751,8161981
Nordrhein-Westfalen,2019,8805974,9141247,17947221
Nordrhein-Westfalen,2020,8794888,9130682,17925570
Nordrhein-Westfalen,2021,8795533,9129058,17924591
Nordrhein-Westfalen,2022,8890200,9248916,18139116
Nordrhein-Westfalen,2023,8930892,9259530,18190422
Rheinland-Pfalz,2019,2023004,2070899,4093903
Rheinland-Pfalz,2020,2026105,2072286,4098391
Rheinland-Pfalz,2021,2030323,2076162,4106485
Rheinland-Pfalz,2022,2054254,2104896,4159150
Rheinland-Pfalz,2023,2066181,2108130,4174311
Saarland,2019,484419,502468,986887
Saarland,2020,483001,500990,983991
Saarland,2021,482439,499909,982348
Saarland,2022,487101,505565,992666
Saarland,2023,489045,505379,994424
Sachsen,2019,2006722,2065249,4071971
Sachsen,2020,1999026,2057915,4056941
Sachsen,2021,1992884,2050118,4043002
Sachsen,2022,2010537,2075615,4086152
Sachsen,2023,2015937,2073530,4089467
Sachsen-Anhalt,2019,1079862,1114920,2194782
Sachsen-Anhalt,2020,1072595,1108089,2180684
Sachsen-Anhalt,2021,1067143,1102110,2169253
Sachsen-Anhalt,2022,1073711,1112932,2186643
Sachsen-Anhalt,2023,1072906,1107542,2180448
Schleswig-Holstein,2019,1422883,1480890,2903773
Schleswig-Holstein,2020,1425649,1485226,2910875
Schleswig-Holstein,2021,1431064,1490941,2922005
Schleswig-Holstein,2022,1443269,1510001,2953270
Schleswig-Holstein,2023,1451443,1514248,2965691
Thüringen,2019,1055996,1077382,2133378
Thüringen,2020,1049212,1071025,2120237
Thüringen,2021,1043936,1064927,2108863
Thüringen,2022,1051482,1075364,2126846
Thüringen,2023,1050971,1071364,2122335
